Object Type;Property;Name;Italian [it-IT];English [en-US];;;;;;;;;
Table;Caption;Vendite;Vendite;Sales;;;;;;;;;
Column;Caption;Vendite[K_DataRegistraz_2];K_DataRegistraz_2;K_Dataregistraz_2;;;;;;;;;
Column;Caption;Vendite[Documento - Tipo];Documento - Tipo;Document - Type;;;;;;;;;
Column;Caption;Vendite[Documento - CodClasseStatistica];Documento - CodClasseStatistica;Document - Codclassestatistica;;;;;;;;;
Column;Caption;Vendite[New Quantità spedito residuo];New Quantità spedito residuo;New Quantity Shipped Remaining;;;;;;;;;
Column;Caption;Vendite[New Importo spedito residuo];New Importo spedito residuo;New Remaining Shipped Amount;;;;;;;;;
Column;Caption;Vendite[Documento - Numero registrazione];Documento - Numero registrazione;Document - Registration Number;;;;;;;;;
Column;Caption;Vendite[Documento - Riferimento registrazione];Documento - Riferimento registrazione;Document - Registration Reference;;;;;;;;;
Column;Caption;Vendite[Documento - Numero documento];Documento - Numero documento;Document - Document Number;;;;;;;;;
Column;Caption;Vendite[Documento - Operatore ultima variazione];Documento - Operatore ultima variazione;Document - Last Change Operator;;;;;;;;;
Column;Caption;Vendite[Documento - Numero progressivo riga];Documento - Numero progressivo riga;Document - Line Sequential Number;;;;;;;;;
Column;Caption;Vendite[Documento - Flag DdT/MfT da fatturare];Documento - Flag DdT/MfT da fatturare;Document - DDT/Mft Flags To Be Invoiced;;;;;;;;;
Column;Caption;Vendite[Documento - Flag riga bloccata per evasione/fatturazione];Documento - Flag riga bloccata per evasione/fatturazione;Document - Line Flag Blocked For Fulfillment/Invoicing;;;;;;;;;
Column;Caption;Vendite[Documento - Riferimento riga];Documento - Riferimento riga;Document - Line Reference;;;;;;;;;
Column;Caption;Vendite[Documento - Gruppo-ClasseStatistica];Documento - Gruppo-ClasseStatistica;Document - Group-Classstatistics;;;;;;;;;
Column;Caption;Vendite[Documento - Riferimento testata];Documento - Riferimento testata;Document - Header Reference;;;;;;;;;
Column;Caption;Vendite[Documento - Saldato];Documento - Saldato;Document - Welded;;;;;;;;;
Column;Caption;Vendite[Preventivo - Data Fine Validità];Preventivo - Data Fine Validità;Quote - End Date Of Validity;;;;;;;;;
Column;Caption;Vendite[Preventivo - Data accettazione];Preventivo - Data accettazione;Quote - Acceptance Date;;;;;;;;;
Column;Caption;Vendite[Sconto 1 - categoria];Sconto 1 - categoria;Discount 1 - Category;;;;;;;;;
Column;Caption;Vendite[Sconto 2 - categoria];Sconto 2 - categoria;Discount 2 - Category;;;;;;;;;
Column;Caption;Vendite[Importo Sconto da categoria];Importo Sconto da categoria;Amount Discount By Category;;;;;;;;;
Column;Caption;Vendite[Sezione Budget];Sezione Budget;Budget Section;;;;;;;;;
Column;Caption;Vendite[GruppoDoc];GruppoDoc;Groupdoc;;;;;;;;;
Table;Caption;Articoli / Servizi;Articoli / Servizi;Articles / Services;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo];Articolo;Article;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Ditta];Articolo - Ditta;Article - Company;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice];Articolo - Codice;Article - Code;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice variante];Articolo - Codice variante;Article - Variant Code;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione];Articolo - Descrizione;Article - Description;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Tipo anagrafica];Articolo - Tipo anagrafica;Article - Registry Type;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Stato];Articolo - Stato;Article - State;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Tipo];Articolo - Tipo;Item - Type;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice macrofamiglia (A)];Articolo - Codice macrofamiglia (A);Article - Macrofamily Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione macrofamiglia (A)];Articolo - Descrizione macrofamiglia (A);Article - Description Of Macro-Family (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Macrofamiglia (A)];Articolo - Macrofamiglia (A);Article - Macrofamily (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice famiglia (A)];Articolo - Codice famiglia (A);Article - Family Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione famiglia (A)];Articolo - Descrizione famiglia (A);Article - Family Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Famiglia (A)];Articolo - Famiglia (A);Article - Family (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice marca (A)];Articolo - Codice marca (A);Item - Brand Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione marca (A)];Articolo - Descrizione marca (A);Item - Brand Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Marca (A)];Articolo - Marca (A);Item - Brand (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice linea (A)];Articolo - Codice linea (A);Item - Line Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione linea (A)];Articolo - Descrizione linea (A);Item - Line Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Linea (A)];Articolo - Linea (A);Article - Line (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice settore (A)];Articolo - Codice settore (A);Article - Sector Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione settore (A)];Articolo - Descrizione settore (A);Article - Sector Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Settore (A)];Articolo - Settore (A);Article - Industry (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice classe merceologica (A)];Articolo - Codice classe merceologica (A);Article - Commodity Class Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione classe merceologica (A)];Articolo - Descrizione classe merceologica (A);Article - Description Of Product Class (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Classe merceologica (A)];Articolo - Classe merceologica (A);Article - Product Class (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice classe logistica (A)];Articolo - Codice classe logistica (A);Article - Logistics Class Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione classe logistica (A)];Articolo - Descrizione classe logistica (A);Article - Logistics Class Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Classe logistica (A)];Articolo - Classe logistica (A);Article - Logistic Class (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice classificazione tecnica (A)];Articolo - Codice classificazione tecnica (A);Article - Technical Classification Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione classificazione tecnica (A)];Articolo - Descrizione classificazione tecnica (A);Article - Technical Classification Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Classificazione tecnica (A)];Articolo - Classificazione tecnica (A);Article - Technical Classification (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice classe ABC (A)];Articolo - Codice classe ABC (A);Article - Class ABC Code (A);;;;;;;;;
